area_name,year,month,total_crimes,violent_crimes,crimes_with_weapon,cases_closed
77th Street,2020,1,66,30,39,8
77th Street,2020,2,39,14,19,0
77th Street,2020,3,52,24,30,3
77th Street,2020,4,47,20,27,5
77th Street,2020,5,49,18,23,4
77th Street,2020,6,54,27,36,10
77th Street,2020,7,40,22,22,3
77th Street,2020,8,56,27,35,6
77th Street,2020,9,54,26,34,6
77th Street,2020,10,47,22,33,7
77th Street,2020,11,37,15,21,4
77th Street,2020,12,45,22,29,7
77th Street,2021,1,39,12,20,5
77th Street,2021,2,42,18,25,7
77th Street,2021,3,37,12,14,4
77th Street,2021,4,31,14,19,2
77th Street,2021,5,26,15,19,3
77th Street,2021,6,38,14,22,2
77th Street,2021,7,47,26,29,5
77th Street,2021,8,40,22,29,2
77th Street,2021,9,47,19,23,3
77th Street,2021,10,48,25,32,9
77th Street,2021,11,52,17,24,4
77th Street,2021,12,31,21,22,6
77th Street,2022,1,38,20,25,4
77th Street,2022,2,40,18,20,2
77th Street,2022,3,54,18,20,3
77th Street,2022,4,61,32,41,5
77th Street,2022,5,57,19,27,9
77th Street,2022,6,65,32,37,6
77th Street,2022,7,46,19,27,3
77th Street,2022,8,39,21,26,3
77th Street,2022,9,43,22,30,4
77th Street,2022,10,51,23,27,5
77th Street,2022,11,52,19,21,3
77th Street,2022,12,60,14,22,3
77th Street,2023,1,55,23,28,6
77th Street,2023,2,53,15,25,5
77th Street,2023,3,54,23,31,4
77th Street,2023,4,53,16,25,2
77th Street,2023,5,34,13,16,5
77th Street,2023,6,56,27,40,5
77th Street,2023,7,56,27,35,7
77th Street,2023,8,32,15,18,2
77th Street,2023,9,33,17,21,6
77th Street,2023,10,39,17,23,3
77th Street,2023,11,39,16,23,2
77th Street,2023,12,38,13,15,6
77th Street,2024,1,50,30,35,5
77th Street,2024,2,42,19,26,4
77th Street,2024,3,35,19,24,3
77th Street,2024,4,47,22,31,4
77th Street,2024,5,11,2,3,0
77th Street,2024,6,6,0,0,0
77th Street,2024,7,8,2,2,0
77th Street,2024,8,8,0,0,0
77th Street,2024,9,7,0,0,0
77th Street,2024,10,7,1,1,0
77th Street,2024,11,6,1,1,0
77th Street,2024,12,6,0,0,0
Central,2020,1,57,22,30,5
Central,2020,2,50,17,23,2
Central,2020,3,30,13,14,0
Central,2020,4,34,13,15,4
Central,2020,5,48,22,24,6
Central,2020,6,45,16,18,3
Central,2020,7,36,17,18,5
Central,2020,8,43,17,20,5
Central,2020,9,41,19,24,4
Central,2020,10,37,20,23,3
Central,2020,11,32,15,20,4
Central,2020,12,35,9,11,3
Central,2021,1,36,11,13,3
Central,2021,2,29,13,13,3
Central,2021,3,31,13,18,3
Central,2021,4,26,9,12,2
Central,2021,5,47,21,26,3
Central,2021,6,41,11,18,2
Central,2021,7,57,16,23,1
Central,2021,8,36,10,15,4
Central,2021,9,50,27,29,3
Central,2021,10,50,22,22,2
Central,2021,11,51,22,24,7
Central,2021,12,67,20,26,2
Central,2022,1,61,19,21,3
Central,2022,2,46,17,21,2
Central,2022,3,66,21,28,5
Central,2022,4,66,21,29,5
Central,2022,5,63,24,26,5
Central,2022,6,55,23,26,4
Central,2022,7,55,14,20,3
Central,2022,8,61,15,20,2
Central,2022,9,68,26,30,6
Central,2022,10,83,28,32,3
Central,2022,11,59,25,27,3
Central,2022,12,58,23,27,6
Central,2023,1,54,11,16,5
Central,2023,2,58,22,24,3
Central,2023,3,60,23,27,2
Central,2023,4,55,25,30,4
Central,2023,5,56,24,30,8
Central,2023,6,54,18,25,4
Central,2023,7,47,13,16,2
Central,2023,8,52,22,25,2
Central,2023,9,52,15,28,3
Central,2023,10,52,19,25,3
Central,2023,11,59,20,21,0
Central,2023,12,66,26,30,2
Central,2024,1,58,22,26,4
Central,2024,2,42,13,18,1
Central,2024,3,41,5,7,3
Central,2024,4,24,4,4,1
Central,2024,5,15,1,1,0
Central,2024,6,19,0,0,0
Central,2024,7,20,0,0,0
Central,2024,8,22,0,0,0
Central,2024,9,21,0,0,0
Central,2024,10,15,2,2,1
Central,2024,11,20,0,0,0
Central,2024,12,15,0,0,1
Devonshire,2020,1,29,8,8,4
Devonshire,2020,2,31,5,7,7
Devonshire,2020,3,19,10,11,1
Devonshire,2020,4,16,2,4,1
Devonshire,2020,5,27,4,4,1
Devonshire,2020,6,35,5,10,3
Devonshire,2020,7,24,6,8,8
Devonshire,2020,8,16,6,8,1
Devonshire,2020,9,19,9,10,0
Devonshire,2020,10,17,4,5,2
Devonshire,2020,11,25,8,10,3
