crime_description,crime_category,year,total_crimes,avg_victim_age
ARSON,Other Crime,2020,23,31.91304347826087
ARSON,Other Crime,2021,9,32.888888888888886
ARSON,Other Crime,2022,14,34.785714285714285
ARSON,Other Crime,2023,20,30.25
ARSON,Other Crime,2024,6,49.833333333333336
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,Violent Crime,2020,9,10.666666666666666
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,Violent Crime,2021,5,24.8
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,Violent Crime,2022,6,18.833333333333332
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,Violent Crime,2023,4,0.0
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,Violent Crime,2024,4,6.0
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Violent Crime,2020,468,35.85470085470085
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Violent Crime,2021,433,37.85450346420323
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Violent Crime,2022,494,37.58097165991903
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Violent Crime,2023,506,36.972332015810274
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Violent Crime,2024,130,38.06153846153846
ATTEMPTED ROBBERY,Violent Crime,2020,38,34.89473684210526
ATTEMPTED ROBBERY,Violent Crime,2021,38,39.31578947368421
ATTEMPTED ROBBERY,Violent Crime,2022,43,34.74418604651163
ATTEMPTED ROBBERY,Violent Crime,2023,40,41.0
ATTEMPTED ROBBERY,Violent Crime,2024,9,36.0
BATTERY - SIMPLE ASSAULT,Violent Crime,2020,629,40.61367249602544
BATTERY - SIMPLE ASSAULT,Violent Crime,2021,578,39.761245674740486
BATTERY - SIMPLE ASSAULT,Violent Crime,2022,738,39.74254742547426
BATTERY - SIMPLE ASSAULT,Violent Crime,2023,700,39.894285714285715
BATTERY - SIMPLE ASSAULT,Violent Crime,2024,210,38.41904761904762
BATTERY ON A FIREFIGHTER,Violent Crime,2020,1,38.0
BATTERY ON A FIREFIGHTER,Violent Crime,2022,3,22.0
BATTERY ON A FIREFIGHTER,Violent Crime,2023,3,23.666666666666668
BATTERY POLICE (SIMPLE),Violent Crime,2020,23,16.217391304347824
BATTERY POLICE (SIMPLE),Violent Crime,2021,17,15.529411764705882
BATTERY POLICE (SIMPLE),Violent Crime,2022,6,14.166666666666666
BATTERY POLICE (SIMPLE),Violent Crime,2023,15,15.4
BATTERY POLICE (SIMPLE),Violent Crime,2024,5,4.6
BATTERY WITH SEXUAL CONTACT,Violent Crime,2020,42,30.952380952380953
BATTERY WITH SEXUAL CONTACT,Violent Crime,2021,29,36.689655172413794
BATTERY WITH SEXUAL CONTACT,Violent Crime,2022,36,24.97222222222222
BATTERY WITH SEXUAL CONTACT,Violent Crime,2023,29,30.03448275862069
BATTERY WITH SEXUAL CONTACT,Violent Crime,2024,12,35.833333333333336
BIKE - ATTEMPTED STOLEN,Property Crime,2020,1,60.0
BIKE - ATTEMPTED STOLEN,Property Crime,2021,1,29.0
BIKE - STOLEN,Property Crime,2020,76,38.23684210526316
BIKE - STOLEN,Property Crime,2021,78,38.91025641025641
BIKE - STOLEN,Property Crime,2022,64,37.609375
BIKE - STOLEN,Property Crime,2023,48,37.770833333333336
BIKE - STOLEN,Property Crime,2024,39,33.58974358974359
BOMB SCARE,Other Crime,2020,2,34.0
BOMB SCARE,Other Crime,2021,4,22.5
BOMB SCARE,Other Crime,2022,2,0.0
BOMB SCARE,Other Crime,2023,3,33.666666666666664
BOMB SCARE,Other Crime,2024,2,30.5
BRANDISH WEAPON,Other Crime,2020,125,37.504
BRANDISH WEAPON,Other Crime,2021,110,38.89090909090909
BRANDISH WEAPON,Other Crime,2022,148,37.04054054054054
BRANDISH WEAPON,Other Crime,2023,135,36.318518518518516
BRANDISH WEAPON,Other Crime,2024,47,37.148936170212764
"BUNCO, ATTEMPT",Other Crime,2020,2,66.5
"BUNCO, ATTEMPT",Other Crime,2021,1,28.0
"BUNCO, ATTEMPT",Other Crime,2022,1,75.0
"BUNCO, ATTEMPT",Other Crime,2023,3,36.666666666666664
"BUNCO, GRAND THEFT",Property Crime,2020,32,49.34375
"BUNCO, GRAND THEFT",Property Crime,2021,49,46.12244897959184
"BUNCO, GRAND THEFT",Property Crime,2022,48,49.145833333333336
"BUNCO, GRAND THEFT",Property Crime,2023,62,45.41935483870968
"BUNCO, GRAND THEFT",Property Crime,2024,15,44.0
"BUNCO, PETTY THEFT",Property Crime,2020,29,37.310344827586206
"BUNCO, PETTY THEFT",Property Crime,2021,17,41.470588235294116
"BUNCO, PETTY THEFT",Property Crime,2022,13,38.92307692307692
"BUNCO, PETTY THEFT",Property Crime,2023,14,41.642857142857146
"BUNCO, PETTY THEFT",Property Crime,2024,7,39.0
BURGLARY,Property Crime,2020,380,41.78421052631579
BURGLARY,Property Crime,2021,395,39.255696202531645
BURGLARY,Property Crime,2022,422,40.535545023696685
BURGLARY,Property Crime,2023,411,41.34306569343066
BURGLARY,Property Crime,2024,117,40.14529914529915
BURGLARY FROM VEHICLE,Property Crime,2020,468,39.07692307692308
BURGLARY FROM VEHICLE,Property Crime,2021,531,37.51035781544256
BURGLARY FROM VEHICLE,Property Crime,2022,548,37.339416058394164
BURGLARY FROM VEHICLE,Property Crime,2023,541,38.22365988909427
BURGLARY FROM VEHICLE,Property Crime,2024,391,37.72378516624041
"BURGLARY FROM VEHICLE, ATTEMPTED",Property Crime,2020,9,38.666666666666664
"BURGLARY FROM VEHICLE, ATTEMPTED",Property Crime,2021,6,29.833333333333332
"BURGLARY FROM VEHICLE, ATTEMPTED",Property Crime,2022,6,38.166666666666664
"BURGLARY FROM VEHICLE, ATTEMPTED",Property Crime,2023,6,37.0
"BURGLARY FROM VEHICLE, ATTEMPTED",Property Crime,2024,2,28.5
"BURGLARY, ATTEMPTED",Property Crime,2020,33,39.09090909090909
"BURGLARY, ATTEMPTED",Property Crime,2021,12,47.25
"BURGLARY, ATTEMPTED",Property Crime,2022,31,47.74193548387097
"BURGLARY, ATTEMPTED",Property Crime,2023,30,43.7
"BURGLARY, ATTEMPTED",Property Crime,2024,3,7.666666666666667
CHILD ABANDONMENT,Other Crime,2022,2,7.0
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,Violent Crime,2020,8,12.5
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,Violent Crime,2021,6,10.666666666666666
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,Violent Crime,2022,3,11.0
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,Violent Crime,2023,3,13.666666666666666
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,Violent Crime,2020,45,10.177777777777777
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,Violent Crime,2021,26,12.0
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,Violent Crime,2022,27,11.37037037037037
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,Violent Crime,2023,36,11.472222222222221
