sk_date,full_date,year,quarter,month,month_name,week_of_year,day_of_month,day_of_week,day_name,is_weekend
1,2020-12-03,2020,4,12,December,49,3,3,Thursday,False
2,2020-05-22,2020,2,5,May,21,22,4,Friday,False
3,2021-10-27,2021,4,10,October,43,27,2,Wednesday,False
4,2021-07-20,2021,3,7,July,29,20,1,Tuesday,False
5,2021-04-12,2021,2,4,April,15,12,0,Monday,False
6,2020-10-30,2020,4,10,October,44,30,4,Friday,False
7,2023-01-12,2023,1,1,January,2,12,3,Thursday,False
8,2020-04-18,2020,2,4,April,16,18,5,Saturday,True
9,2023-02-14,2023,1,2,February,7,14,1,Tuesday,False
10,2023-06-20,2023,2,6,June,25,20,1,Tuesday,False
11,2024-07-03,2024,3,7,July,27,3,2,Wednesday,False
12,2022-01-16,2022,1,1,January,2,16,6,Sunday,True
13,2022-07-02,2022,3,7,July,26,2,5,Saturday,True
14,2020-10-03,2020,4,10,October,40,3,5,Saturday,True
15,2020-04-13,2020,2,4,April,16,13,0,Monday,False
16,2021-08-13,2021,3,8,August,32,13,4,Friday,False
17,2021-02-10,2021,1,2,February,6,10,2,Wednesday,False
18,2022-03-14,2022,1,3,March,11,14,0,Monday,False
19,2022-06-19,2022,2,6,June,24,19,6,Sunday,True
20,2020-05-26,2020,2,5,May,22,26,1,Tuesday,False
21,2022-09-02,2022,3,9,September,35,2,4,Friday,False
22,2021-01-17,2021,1,1,January,2,17,6,Sunday,True
23,2023-08-11,2023,3,8,August,32,11,4,Friday,False
24,2020-05-24,2020,2,5,May,21,24,6,Sunday,True
25,2023-08-13,2023,3,8,August,32,13,6,Sunday,True
26,2023-04-02,2023,2,4,April,13,2,6,Sunday,True
27,2022-12-02,2022,4,12,December,48,2,4,Friday,False
28,2022-04-12,2022,2,4,April,15,12,1,Tuesday,False
29,2021-11-01,2021,4,11,November,44,1,0,Monday,False
30,2022-08-30,2022,3,8,August,35,30,1,Tuesday,False
31,2022-08-27,2022,3,8,August,34,27,5,Saturday,True
32,2021-10-10,2021,4,10,October,40,10,6,Sunday,True
33,2024-07-16,2024,3,7,July,29,16,1,Tuesday,False
34,2020-03-28,2020,1,3,March,13,28,5,Saturday,True
35,2023-01-14,2023,1,1,January,2,14,5,Saturday,True
36,2023-09-27,2023,3,9,September,39,27,2,Wednesday,False
37,2022-01-01,2022,1,1,January,52,1,5,Saturday,True
38,2021-01-06,2021,1,1,January,1,6,2,Wednesday,False
39,2021-01-08,2021,1,1,January,1,8,4,Friday,False
40,2020-11-06,2020,4,11,November,45,6,4,Friday,False
41,2021-09-10,2021,3,9,September,36,10,4,Friday,False
42,2024-06-27,2024,2,6,June,26,27,3,Thursday,False
43,2023-10-12,2023,4,10,October,41,12,3,Thursday,False
44,2021-03-31,2021,1,3,March,13,31,2,Wednesday,False
45,2020-12-01,2020,4,12,December,49,1,1,Tuesday,False
46,2021-04-04,2021,2,4,April,13,4,6,Sunday,True
47,2020-09-02,2020,3,9,September,36,2,2,Wednesday,False
48,2021-06-14,2021,2,6,June,24,14,0,Monday,False
49,2024-02-26,2024,1,2,February,9,26,0,Monday,False
50,2021-07-03,2021,3,7,July,26,3,5,Saturday,True
51,2020-08-02,2020,3,8,August,31,2,6,Sunday,True
52,2023-10-03,2023,4,10,October,40,3,1,Tuesday,False
53,2020-02-05,2020,1,2,February,6,5,2,Wednesday,False
54,2024-02-19,2024,1,2,February,8,19,0,Monday,False
55,2021-03-21,2021,1,3,March,11,21,6,Sunday,True
56,2022-03-01,2022,1,3,March,9,1,1,Tuesday,False
57,2023-12-04,2023,4,12,December,49,4,0,Monday,False
58,2023-08-17,2023,3,8,August,33,17,3,Thursday,False
59,2023-03-17,2023,1,3,March,11,17,4,Friday,False
60,2024-09-08,2024,3,9,September,36,8,6,Sunday,True
61,2024-11-08,2024,4,11,November,45,8,4,Friday,False
62,2023-03-13,2023,1,3,March,11,13,0,Monday,False
63,2020-12-31,2020,4,12,December,53,31,3,Thursday,False
64,2023-09-14,2023,3,9,September,37,14,3,Thursday,False
65,2021-11-15,2021,4,11,November,46,15,0,Monday,False
66,2024-01-22,2024,1,1,January,4,22,0,Monday,False
67,2021-05-22,2021,2,5,May,20,22,5,Saturday,True
68,2024-04-14,2024,2,4,April,15,14,6,Sunday,True
69,2021-07-04,2021,3,7,July,26,4,6,Sunday,True
70,2021-04-20,2021,2,4,April,16,20,1,Tuesday,False
71,2022-12-17,2022,4,12,December,50,17,5,Saturday,True
72,2023-02-10,2023,1,2,February,6,10,4,Friday,False
73,2021-03-19,2021,1,3,March,11,19,4,Friday,False
74,2020-07-07,2020,3,7,July,28,7,1,Tuesday,False
75,2021-11-02,2021,4,11,November,44,2,1,Tuesday,False
76,2021-04-29,2021,2,4,April,17,29,3,Thursday,False
77,2021-01-18,2021,1,1,January,3,18,0,Monday,False
78,2023-01-18,2023,1,1,January,3,18,2,Wednesday,False
79,2023-10-02,2023,4,10,October,40,2,0,Monday,False
80,2020-10-13,2020,4,10,October,42,13,1,Tuesday,False
81,2022-09-11,2022,3,9,September,36,11,6,Sunday,True
82,2023-09-07,2023,3,9,September,36,7,3,Thursday,False
83,2022-07-04,2022,3,7,July,27,4,0,Monday,False
84,2023-03-28,2023,1,3,March,13,28,1,Tuesday,False
85,2020-02-04,2020,1,2,February,6,4,1,Tuesday,False
86,2022-10-16,2022,4,10,October,41,16,6,Sunday,True
87,2021-05-10,2021,2,5,May,19,10,0,Monday,False
88,2021-09-05,2021,3,9,September,35,5,6,Sunday,True
89,2023-07-27,2023,3,7,July,30,27,3,Thursday,False
90,2023-12-21,2023,4,12,December,51,21,3,Thursday,False
91,2022-03-19,2022,1,3,March,11,19,5,Saturday,True
92,2021-05-08,2021,2,5,May,18,8,5,Saturday,True
93,2023-07-13,2023,3,7,July,28,13,3,Thursday,False
94,2024-02-27,2024,1,2,February,9,27,1,Tuesday,False
95,2023-02-23,2023,1,2,February,8,23,3,Thursday,False
96,2023-07-15,2023,3,7,July,28,15,5,Saturday,True
97,2021-03-25,2021,1,3,March,12,25,3,Thursday,False
98,2023-03-09,2023,1,3,March,10,9,3,Thursday,False
99,2020-02-13,2020,1,2,February,7,13,3,Thursday,False
100,2023-11-14,2023,4,11,November,46,14,1,Tuesday,False
101,2021-06-28,2021,2,6,June,26,28,0,Monday,False
102,2021-10-08,2021,4,10,October,40,8,4,Friday,False
103,2024-07-30,2024,3,7,July,31,30,1,Tuesday,False
104,2021-06-22,2021,2,6,June,25,22,1,Tuesday,False
105,2021-06-04,2021,2,6,June,22,4,4,Friday,False
106,2023-01-06,2023,1,1,January,1,6,4,Friday,False
107,2023-06-29,2023,2,6,June,26,29,3,Thursday,False
108,2022-07-18,2022,3,7,July,29,18,0,Monday,False
109,2020-05-18,2020,2,5,May,21,18,0,Monday,False
110,2021-08-17,2021,3,8,August,33,17,1,Tuesday,False
111,2020-12-30,2020,4,12,December,53,30,2,Wednesday,False
112,2021-08-08,2021,3,8,August,31,8,6,Sunday,True
113,2022-02-10,2022,1,2,February,6,10,3,Thursday,False
114,2023-03-31,2023,1,3,March,13,31,4,Friday,False
115,2022-12-19,2022,4,12,December,51,19,0,Monday,False
116,2022-08-11,2022,3,8,August,32,11,3,Thursday,False
117,2022-05-01,2022,2,5,May,17,1,6,Sunday,True
118,2022-08-04,2022,3,8,August,31,4,3,Thursday,False
119,2020-10-25,2020,4,10,October,43,25,6,Sunday,True
120,2023-10-13,2023,4,10,October,41,13,4,Friday,False
121,2024-04-20,2024,2,4,April,16,20,5,Saturday,True
122,2020-12-19,2020,4,12,December,51,19,5,Saturday,True
123,2020-10-01,2020,4,10,October,40,1,3,Thursday,False
124,2023-08-04,2023,3,8,August,31,4,4,Friday,False
125,2023-04-26,2023,2,4,April,17,26,2,Wednesday,False
126,2023-11-29,2023,4,11,November,48,29,2,Wednesday,False
127,2022-02-24,2022,1,2,February,8,24,3,Thursday,False
128,2022-10-29,2022,4,10,October,43,29,5,Saturday,True
129,2020-12-25,2020,4,12,December,52,25,4,Friday,False
130,2021-08-16,2021,3,8,August,33,16,0,Monday,False
131,2021-08-14,2021,3,8,August,32,14,5,Saturday,True
132,2022-11-07,2022,4,11,November,45,7,0,Monday,False
133,2022-01-20,2022,1,1,January,3,20,3,Thursday,False
134,2022-04-05,2022,2,4,April,14,5,1,Tuesday,False
135,2021-10-26,2021,4,10,October,43,26,1,Tuesday,False
136,2022-10-10,2022,4,10,October,41,10,0,Monday,False
137,2024-04-26,2024,2,4,April,17,26,4,Friday,False
138,2024-01-17,2024,1,1,January,3,17,2,Wednesday,False
139,2023-01-10,2023,1,1,January,2,10,1,Tuesday,False
140,2020-03-11,2020,1,3,March,11,11,2,Wednesday,False
141,2023-05-10,2023,2,5,May,19,10,2,Wednesday,False
142,2024-08-22,2024,3,8,August,34,22,3,Thursday,False
143,2022-04-18,2022,2,4,April,16,18,0,Monday,False
144,2023-01-31,2023,1,1,January,5,31,1,Tuesday,False
145,2021-08-29,2021,3,8,August,34,29,6,Sunday,True
146,2023-12-15,2023,4,12,December,50,15,4,Friday,False
