sk_crime,nk_crime_id,sk_date,sk_time,sk_area,sk_crime_type,sk_victim,latitude,longitude,is_violent,has_weapon,case_closed
1,200218154,1,9,1,1,1,34.0488,-118.2775,True,True,False
2,201816346,2,12,2,2,2,33.8908,-118.2867,False,False,False
3,210714873,3,21,3,3,3,34.0586,-118.3367,False,False,False
4,210812160,4,10,4,4,4,34.0531,-118.4618,False,False,False
5,211112132,5,17,5,5,2,34.1131,-118.2684,False,False,False
6,201223629,6,14,6,6,5,33.9511,-118.3079,True,True,False
7,230604883,7,12,7,7,6,34.1001,-118.3092,False,False,False
8,200310170,8,22,8,8,7,34.017,-118.3067,False,False,False
9,231505899,9,22,9,2,8,34.1826,-118.3916,False,False,False
10,232110679,10,10,10,1,9,34.2059,-118.5734,True,True,False
11,240113966,11,8,11,9,10,34.0561,-118.2375,False,False,False
12,220704596,12,18,3,3,11,34.0715,-118.3679,False,False,False
13,220115422,13,3,11,6,12,34.0407,-118.2541,True,True,False
14,201613669,14,18,12,10,13,34.2469,-118.4195,False,False,False
15,200110400,15,15,11,1,12,34.0509,-118.2515,True,True,True
16,211217637,16,13,6,11,14,33.9846,-118.3323,True,True,False
17,210405454,17,7,13,12,15,34.0426,-118.2137,False,False,False
18,220207242,18,22,1,5,9,34.0605,-118.2695,False,True,False
19,222110854,19,22,10,5,16,34.1837,-118.6146,False,False,False
20,202109837,20,17,10,13,15,34.1665,-118.6183,False,False,False
21,220119958,21,13,11,2,17,34.0613,-118.2446,False,False,False
22,210404635,22,23,13,14,18,34.0299,-118.2068,False,False,False
23,230315175,23,20,8,13,3,34.0326,-118.3351,False,False,False
24,201110292,24,19,5,15,2,34.1066,-118.2489,False,False,False
25,231218424,25,14,6,11,18,33.995,-118.3204,True,True,False
26,230707943,26,8,3,16,19,34.0689,-118.344,True,True,True
27,221518147,27,23,9,17,2,34.1429,-118.403,False,False,False
28,221508110,28,3,9,18,17,34.1613,-118.4052,False,False,False
29,210619216,29,10,7,2,20,34.1146,-118.3607,False,False,False
30,221816549,30,8,2,11,21,33.9502,-118.2652,True,True,False
31,221218459,31,8,6,11,22,33.9892,-118.3089,True,True,False
32,210413756,32,20,13,11,15,34.0779,-118.1944,True,True,False
33,240312446,33,1,8,3,23,34.0229,-118.3224,False,False,False
34,230208225,34,15,1,2,24,34.061,-118.2615,False,False,False
35,231304679,35,4,14,19,14,34.0025,-118.2653,True,True,True
36,230715156,36,19,3,1,1,34.0434,-118.3358,True,True,False
37,220109738,37,13,11,14,10,34.0616,-118.2363,False,False,False
38,210504223,38,24,15,11,25,33.7735,-118.2737,True,True,False
